County Name,State FIPS,County Code,County FIPS,ZIP Code,File Date
Suffolk,36,103,36103,11947,7/25/2007
Suffolk,36,103,36103,11948,7/25/2007
Suffolk,36,103,36103,11949,7/25/2007
Suffolk,36,103,36103,11950,7/25/2007
Suffolk,36,103,36103,11951,7/25/2007
Suffolk,36,103,36103,11952,7/25/2007
Suffolk,36,103,36103,11953,7/25/2007
Suffolk,36,103,36103,11954,7/25/2007
Suffolk,36,103,36103,11955,7/25/2007
Suffolk,36,103,36103,11956,7/25/2007
Suffolk,36,103,36103,11957,7/25/2007
Suffolk,36,103,36103,11958,7/25/2007
Suffolk,36,103,36103,11959,7/25/2007
Suffolk,36,103,36103,11960,7/25/2007
Suffolk,36,103,36103,11961,7/25/2007
Suffolk,36,103,36103,11962,7/25/2007
Suffolk,36,103,36103,11963,7/25/2007
Suffolk,36,103,36103,11964,7/25/2007
Suffolk,36,103,36103,11965,7/25/2007
Suffolk,36,103,36103,11967,7/25/2007
Suffolk,36,103,36103,11968,7/25/2007
Suffolk,36,103,36103,11969,7/25/2007
Suffolk,36,103,36103,11970,7/25/2007
Suffolk,36,103,36103,11971,7/25/2007
Suffolk,36,103,36103,11972,7/25/2007
Suffolk,36,103,36103,11973,7/25/2007
Suffolk,36,103,36103,11975,7/25/2007
Suffolk,36,103,36103,11976,7/25/2007
Suffolk,36,103,36103,11977,7/25/2007
Suffolk,36,103,36103,11978,7/25/2007
Suffolk,36,103,36103,11980,7/25/2007
