,Zip_Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
28,11501,0.25257732,0.124620061,0.086092715,0.080808081,0.117537313,0.174137931,0.210691824,0.300417246,0.33159948,0.369845361,0.415789474,0.413659794,0.395973154,0.395149786,0.403631285,0.414985591
29,11507,0.182926829,0.106918239,0.117154812,0.132841328,0.172161172,0.209459459,0.230769231,0.283489097,0.276872964,0.357988166,0.394029851,0.432926829,0.428571429,0.424836601,0.387301587,0.381097561
30,11509,0.192307692,0.097560976,0.01754386,0.014084507,0.071428571,0.047619048,0.14084507,0.197183099,0.26984127,0.202898551,0.266666667,0.290909091,0.326086957,0.318181818,0.4,0.233333333
31,11510,0.242253521,0.156299841,0.107142857,0.114754098,0.153912296,0.196540881,0.223657376,0.304404997,0.361796331,0.400383142,0.436031332,0.464817321,0.483477011,0.453194651,0.467876039,0.481818182
32,11514,0.288461538,0.188888889,0.181034483,0.134920635,0.111111111,0.230769231,0.224489796,0.202614379,0.222891566,0.284916201,0.336956522,0.30964467,0.301587302,0.276041667,0.348837209,0.32748538
33,11516,0.034883721,0.047058824,0.050632911,0.051194539,0.068181818,0.099706745,0.168067227,0.172749392,0.18510158,0.214574899,0.255681818,0.306796117,0.359550562,0.330812854,0.287401575,0.292089249
34,11518,0.182481752,0.122362869,0.094043887,0.105113636,0.154061625,0.176020408,0.234866828,0.258907363,0.335731415,0.346420323,0.365155131,0.394799054,0.355555556,0.293963255,0.31202046,0.35078534
35,11520,0.370967742,0.260824742,0.240770465,0.235254237,0.277672359,0.316071429,0.399035886,0.477581864,0.539000467,0.556079171,0.600370885,0.634011091,0.625488281,0.590681363,0.612399194,0.631240732
36,11530,0.155313351,0.103857567,0.07135362,0.093179635,0.101694915,0.141689373,0.144778481,0.1625,0.186619718,0.211482558,0.256949662,0.286374134,0.284824903,0.247987118,0.270561107,0.264963504
37,11531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,11535,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
39,11536,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
