zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
11575,STANDARD,0,Roosevelt,,,NY,Nassau County,America/New_York,516,NA,US,40.68,-73.58,16430
11576,STANDARD,0,Roslyn,,"E Hills, East Hills, Roslyn Estates, Roslyn Harbor",NY,Nassau County,America/New_York,"516,718",NA,US,40.8,-73.65,12540
11577,STANDARD,0,Roslyn Heights,Roslyn Hts,"E Hills, East Hills",NY,Nassau County,America/New_York,"516,718",NA,US,40.78,-73.64,12260
11579,STANDARD,0,Sea Cliff,,,NY,Nassau County,America/New_York,516,NA,US,40.84,-73.64,4910
11580,STANDARD,0,Valley Stream,,"N Valley Stream, North Valley Stream",NY,Nassau County,America/New_York,516,NA,US,40.66,-73.7,41510
11581,STANDARD,0,Valley Stream,,"N Woodmere, North Woodmere",NY,Nassau County,America/New_York,516,NA,US,40.65,-73.72,21490
11582,PO BOX,0,Valley Stream,,,NY,Nassau County,America/New_York,516,NA,US,40.66,-73.7,483
11590,STANDARD,0,Westbury,,New Cassel,NY,Nassau County,America/New_York,"516,631,718",NA,US,40.75,-73.58,46820
11592,UNIQUE,1,Rockville Center,"Rvc, National Profit, Rockville Ctr, Rockville Centre",,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.57,0
11594,UNIQUE,1,Westbury,115 Firms,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.58,0
11595,UNIQUE,1,Westbury,Cheeselovers,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.58,0
11596,STANDARD,0,Williston Park,"E Williston, East Williston, Williston Pk",,NY,Nassau County,America/New_York,516,NA,US,40.76,-73.64,10700
11597,UNIQUE,1,Westbury,115 Crm Firms,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.58,0
11598,STANDARD,0,Woodmere,,"Hewlett Neck, Woodsburgh",NY,Nassau County,America/New_York,516,NA,US,40.63,-73.72,14000
11599,STANDARD,0,Garden City,,,NY,Nassau County,America/New_York,"516,631,718",NA,US,40.72,-73.64,0
11701,STANDARD,0,Amityville,Amity Harbor,"N Amityville, North Amityville",NY,Suffolk County,America/New_York,"516,631",NA,US,40.66,-73.41,25360
11702,STANDARD,0,Babylon,"Captree Is, Captree Island, Gilgo Beach, Oak Beach, Oak Island, W Gilgo Beach, West Gilgo Beach",,NY,Suffolk County,America/New_York,"516,631",NA,US,40.69,-73.32,13780
11703,STANDARD,0,North Babylon,Babylon,N Babylon,NY,Suffolk County,America/New_York,"631,516",NA,US,40.73,-73.32,16530
11704,STANDARD,0,West Babylon,Babylon,W Babylon,NY,Suffolk County,America/New_York,"516,631",NA,US,40.71,-73.35,37590
11705,STANDARD,0,Bayport,,Bay Port,NY,Suffolk County,America/New_York,631,NA,US,40.74,-73.05,7800
11706,STANDARD,0,Bay Shore,"Fair Harbor, Kismet, Point O Woods, Saltaire","Bayshore, N Bay Shore, North Bay Shore, W Bay Shore, West Bay Shore",NY,Suffolk County,America/New_York,631,NA,US,40.72,-73.25,61130
11707,PO BOX,0,West Babylon,Babylon,W Babylon,NY,Suffolk County,America/New_York,631,NA,US,40.71,-73.35,134
11708,STANDARD,1,Amityville,,,NY,Suffolk County,America/New_York,631,NA,US,40.68,-73.41,0
11709,STANDARD,0,Bayville,,,NY,Nassau County,America/New_York,516,NA,US,40.9,-73.56,6420
11710,STANDARD,0,Bellmore,"N Bellmore, North Bellmore",,NY,Nassau County,America/New_York,"516,631",NA,US,40.65,-73.52,34190
11713,STANDARD,0,Bellport,,"N Bellport, North Bellport",NY,Suffolk County,America/New_York,631,NA,US,40.75,-72.94,10260
11714,STANDARD,0,Bethpage,,,NY,Nassau County,America/New_York,516,NA,US,40.74,-73.48,22770
11715,STANDARD,0,Blue Point,,,NY,Suffolk County,America/New_York,631,NA,US,40.75,-73.03,4440
11716,STANDARD,0,Bohemia,,,NY,Suffolk County,America/New_York,631,NA,US,40.77,-73.12,10000
11717,STANDARD,0,Brentwood,"Edgewood, W Brentwood, West Brentwood",Pine Air,NY,Suffolk County,America/New_York,"516,631",NA,US,40.78,-73.24,62310
11718,STANDARD,0,Brightwaters,,,NY,Suffolk County,America/New_York,631,NA,US,40.71,-73.26,3360
11719,STANDARD,0,Brookhaven,,S Haven,NY,Suffolk County,America/New_York,631,NA,US,40.78,-72.91,2850
11720,STANDARD,0,Centereach,"S Setauket, South Setauket",,NY,Suffolk County,America/New_York,631,NA,US,40.87,-73.08,27560
11721,STANDARD,0,Centerport,,Center Port,NY,Suffolk County,America/New_York,631,NA,US,40.9,-73.37,6310
11722,STANDARD,0,Central Islip,,"S Hauppauge, South Hauppauge",NY,Suffolk County,America/New_York,"516,631",NA,US,40.78,-73.19,35510
11724,STANDARD,0,Cold Spring Harbor,Cold Spg Hbr,,NY,Suffolk County,America/New_York,"516,631",NA,US,40.86,-73.44,3400
11725,STANDARD,0,Commack,,,NY,Suffolk County,America/New_York,631,NA,US,40.84,-73.28,28920
11726,STANDARD,0,Copiague,,Marconiville,NY,Suffolk County,America/New_York,631,NA,US,40.67,-73.39,19870
11727,STANDARD,0,Coram,,,NY,Suffolk County,America/New_York,631,NA,US,40.87,-73,26240
11729,STANDARD,0,Deer Park,,Deerpark,NY,Suffolk County,America/New_York,631,NA,US,40.76,-73.32,27300
11730,STANDARD,0,East Islip,,E Islip,NY,Suffolk County,America/New_York,631,NA,US,40.72,-73.18,13780
11731,STANDARD,0,East Northport,"E Northport, Elwood",,NY,Suffolk County,America/New_York,631,NA,US,40.87,-73.32,29720
11732,STANDARD,0,East Norwich,,"E Norwich, Muttontown, Upper Brookville",NY,Nassau County,America/New_York,516,NA,US,40.84,-73.54,3420
11733,STANDARD,0,East Setauket,Setauket,"E Setauket, Old Field, Poquott, Strongs Neck",NY,Suffolk County,America/New_York,"516,631",NA,US,40.93,-73.1,17080
