,zip,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
14,11030,0.18243243243243243,0.08633093525179857,0.0794392523364486,0.07854406130268199,0.15178571428571427,0.20222929936305734,0.1866096866096866,0.19157088122605365,0.20959595959595959,0.23544631306597671,0.27214377406931967,0.295364238410596,0.293733681462141,0.29379310344827586,0.2923497267759563,0.3183791606367583
15,11040,0.24361493123772102,0.15995260663507108,0.11861471861471862,0.14184397163120568,0.18064024390243902,0.23714285714285716,0.27102199223803364,0.33708530805687204,0.34582623509369675,0.39520624303233,0.4096963239211508,0.471127900701565,0.46442360728075016,0.4784090909090909,0.471044776119403,0.47633136094674555
16,11041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,11042,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.375,0.4166666666666667,0.5384615384615384,0.5333333333333333,0.42857142857142855,0.3076923076923077,0.06666666666666667
18,11043,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19,11044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,11050,0.2567049808429119,0.16810344827586207,0.09574468085106383,0.10265700483091787,0.13417190775681342,0.1942186088527552,0.20320404721753793,0.22985781990521326,0.22839506172839505,0.27555555555555555,0.3362131029517639,0.37650602409638556,0.3950807071483474,0.3526608419380461,0.362012987012987,0.3442892358258012
21,11051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
22,11052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,11053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24,11054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,11055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,11096,0.3076923076923077,0.23870967741935484,0.22685185185185186,0.2204724409448819,0.24452554744525548,0.30033003300330036,0.349862258953168,0.44974874371859297,0.4697986577181208,0.48268839103869654,0.49625468164794007,0.5324675324675324,0.5060240963855421,0.50177304964539,0.5411334552102377,0.5221579961464354
27,11099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,11501,0.25257731958762886,0.12462006079027356,0.08609271523178808,0.08080808080808081,0.11753731343283583,0.17413793103448275,0.21069182389937108,0.3004172461752434,0.33159947984395316,0.3698453608247423,0.41578947368421054,0.41365979381443296,0.3959731543624161,0.39514978601997147,0.4036312849162011,0.414985590778098
29,11507,0.18292682926829268,0.1069182389937107,0.11715481171548117,0.13284132841328414,0.17216117216117216,0.20945945945945946,0.23076923076923078,0.2834890965732087,0.2768729641693811,0.35798816568047337,0.3940298507462687,0.4329268292682927,0.42857142857142855,0.42483660130718953,0.3873015873015873,0.38109756097560976
30,11509,0.19230769230769232,0.0975609756097561,0.017543859649122806,0.014084507042253521,0.07142857142857142,0.047619047619047616,0.14084507042253522,0.19718309859154928,0.2698412698412698,0.2028985507246377,0.26666666666666666,0.2909090909090909,0.32608695652173914,0.3181818181818182,0.4,0.23333333333333334
31,11510,0.24225352112676057,0.15629984051036683,0.10714285714285714,0.11475409836065574,0.15391229578675839,0.19654088050314467,0.22365737593473828,0.304404996712689,0.36179633143580014,0.4003831417624521,0.4360313315926893,0.4648173207036536,0.4834770114942529,0.45319465081723626,0.46787603930461075,0.4818181818181818
32,11514,0.28846153846153844,0.18888888888888888,0.1810344827586207,0.1349206349206349,0.1111111111111111,0.23076923076923078,0.22448979591836735,0.20261437908496732,0.22289156626506024,0.2849162011173184,0.33695652173913043,0.3096446700507614,0.30158730158730157,0.2760416666666667,0.3488372093023256,0.32748538011695905
33,11516,0.03488372093023256,0.047058823529411764,0.05063291139240506,0.051194539249146756,0.06818181818181818,0.09970674486803519,0.16806722689075632,0.17274939172749393,0.18510158013544017,0.2145748987854251,0.2556818181818182,0.3067961165048544,0.3595505617977528,0.33081285444234404,0.2874015748031496,0.2920892494929006
