,zip,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,11025,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,11026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
13,11027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.3333333333333333,0.5,0.0,0.0
14,11030,0.18243243243243243,0.08633093525179857,0.07728337236533958,0.07485604606525911,0.14821428571428572,0.19138755980861244,0.1794871794871795,0.18693982074263765,0.20405576679340937,0.23116883116883116,0.27249357326478146,0.29365079365079366,0.2885117493472585,0.290633608815427
15,11040,0.2411764705882353,0.1553973902728351,0.11391304347826087,0.13812154696132597,0.17620137299771166,0.23302358827734096,0.2665799739921977,0.32957244655581946,0.3363740022805017,0.3869346733668342,0.40770465489566615,0.4703023758099352,0.4616234124792932,0.4755125284738041
16,11041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,11042,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.375,0.4166666666666667,0.5384615384615384,0.5333333333333333,0.42857142857142855
18,11043,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,11044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,11050,0.25384615384615383,0.16379310344827586,0.0928462709284627,0.09782608695652174,0.12710084033613445,0.18948322756119673,0.19477234401349072,0.22292490118577074,0.22162162162162163,0.27319970304380103,0.33525594808940157,0.3730218538055765,0.38970023059185244,0.34578696343402227
21,11051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,11052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,11053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,11054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
25,11055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,11096,0.3157894736842105,0.23870967741935484,0.22790697674418606,0.2151394422310757,0.23897058823529413,0.2947019867549669,0.3296398891966759,0.4433249370277078,0.4618834080717489,0.47433264887063653,0.4868913857677903,0.5317164179104478,0.5017241379310344,0.50177304964539
27,11099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,11501,0.23711340206185566,0.12462006079027356,0.08370044052863436,0.08097165991902834,0.11380597014925373,0.16782006920415224,0.2062992125984252,0.2966573816155989,0.32506527415143605,0.3664516129032258,0.40981432360742703,0.41015625,0.3921832884097035,0.39514978601997147
29,11507,0.18292682926829268,0.1069182389937107,0.11297071129707113,0.12915129151291513,0.1678832116788321,0.19865319865319866,0.2229299363057325,0.2732919254658385,0.2679738562091503,0.344311377245509,0.39520958083832336,0.4316109422492401,0.42718446601941745,0.4215686274509804
